,city,country,lat,lon,max_temp,humidity,wind_speed,date,cloudiness
244,santa rosalia,MX,27.3167,-112.2833,62.31,51,2.82,1612920752,32
245,methoni,GR,36.8197,21.7049,55.99,100,3.44,1612920752,3
246,bayburt,TR,40.2589,40.2278,26.24,95,1.63,1612920752,55
247,bereda,ES,43.2686,-7.5406,45.0,98,8.99,1612920752,82
248,faanui,PF,-16.4833,-151.75,81.93,73,12.91,1612920788,0
249,hailar,CN,49.2,119.7,7.09,93,9.13,1612920752,53
250,kapuskasing,CA,49.4169,-82.4331,-9.4,84,1.81,1612920752,0
251,klaksvik,FO,62.2266,-6.589,28.4,69,6.91,1612920210,98
252,mezen,RU,65.8522,44.24,-21.86,87,1.01,1612920752,30
253,salta,AR,-24.7859,-65.4117,60.8,94,0.6,1612920555,90
254,buala,SB,-8.145,159.5921,79.77,86,13.22,1612920211,100
255,jiexiu,CN,37.0244,111.9125,43.92,48,4.03,1612920753,0
256,tokmak,UA,47.2514,35.7058,32.38,97,5.23,1612920753,100
257,nikolskoye,RU,59.7035,30.7861,3.0,84,2.24,1612920191,44
258,bahir dar,ET,11.5936,37.3908,59.34,39,3.6,1612920753,12
259,kruisfontein,ZA,-34.0033,24.7314,62.01,93,1.99,1612920197,44
260,mwinilunga,ZM,-11.7358,24.4293,61.72,97,4.74,1612920753,91
261,calpulalpan,MX,19.5833,-98.5833,69.8,34,11.5,1612920753,20
262,bambanglipuro,ID,-7.95,110.2833,80.24,79,3.74,1612920207,49
263,santarem,BR,-2.4431,-54.7083,78.8,94,4.61,1612920753,75
264,uyuni,BO,-20.4597,-66.825,54.3,42,9.17,1612920753,0
265,charlestown,AU,-32.95,151.6667,75.0,82,8.59,1612920753,39
266,marathon,US,44.9,-89.7668,1.4,66,5.75,1612920753,1
267,edson,CA,53.5835,-116.4356,-14.8,58,5.75,1612920693,1
268,trincomalee,LK,8.5711,81.2335,76.44,69,13.58,1612920753,92
269,clyde river,CA,70.4692,-68.5914,-2.2,84,8.05,1612920194,75
270,broken hill,AU,-31.95,141.4333,89.6,23,4.61,1612920200,0
271,cockburn town,TC,21.4612,-71.1419,77.32,79,19.64,1612920205,1
272,mahibadhoo,MV,3.7833,72.9667,81.12,73,12.24,1612920753,68
273,corinto,GR,37.9407,22.9573,52.0,72,5.12,1612920754,57
274,vestmanna,FO,62.1564,-7.1664,28.4,69,6.91,1612920754,91
275,ahipara,NZ,-35.1667,173.1667,67.03,93,4.74,1612920079,100
276,nizwa,OM,22.9333,57.5333,60.85,44,3.67,1612920754,100
277,surgut,RU,61.25,73.4167,-22.0,76,6.71,1612920461,75
278,westport,US,41.1415,-73.3579,28.4,80,9.22,1612920460,20
279,afua,BR,-0.1567,-50.3867,75.76,93,6.31,1612920754,100
280,okhotsk,RU,59.3833,143.3,18.77,94,20.2,1612920754,100
281,leon valley,US,29.4952,-98.6186,64.4,68,11.5,1612920466,1
282,lhokseumawe,ID,5.1801,97.1507,81.7,75,0.56,1612920754,1
283,portland,US,45.5234,-122.6762,44.6,49,6.91,1612920674,20
284,belmonte,BR,-15.8631,-38.8828,75.2,88,8.21,1612920192,40
285,bandiagara,ML,14.3501,-3.6104,77.0,29,6.91,1612920754,2
286,tagusao,PH,9.1924,117.8141,80.96,75,2.39,1612920209,45
287,mahon,ES,39.8885,4.2658,57.2,88,14.97,1612920754,20
288,tiksi,RU,71.6872,128.8694,-13.68,82,4.05,1612920789,100
289,nuevo progreso,MX,23.1667,-97.95,73.99,68,3.0,1612920754,0
290,kyren,RU,51.6828,102.1408,19.44,92,3.24,1612920755,100
291,laramie,US,41.3114,-105.5911,33.01,55,16.11,1612920755,90
